dataset_key,panel_label,method,setting,shot,metric,metric_label,ideal_value,native_value,normalized_bias_error_plotted,aggregate_score,aggregate_score_label,aggregate_direction,name,model,strategy,metric_source_file
crowspairs,CrowS-Pairs,DIY-Teach-Show 0-shot,IT+ICL,0,stereotype_preference_pct,Stereotype preference %,50,63.66,13.66,,,lower,m4_ft_icl,crows_pairs_metrics_overall_m4_fticl_zero_llama8b_all_allversions_crowspairs,all_strategies,results/new_results/m4_ft_icl_zero/m4_ft_icl_zero_allmodels_20260514_143756/llama8b/evalshared/crows_pairs_metrics_overall_m4_fticl_zero_llama8b_all_allversions_crowspairs.csv
crowspairs,CrowS-Pairs,DIY-Teach-Show 1-shot,IT+ICL,1,stereotype_preference_pct,Stereotype preference %,50,59.81,9.81,,,lower,m4_ft_icl,crows_pairs_metrics_overall_m4_fticl_one_llama8b_all_allversions_crowspairs,all_strategies,results/new_results/m4_ft_icl_one/m4_ft_icl_one_allmodels_20260514_143757/llama8b/evalshared/crows_pairs_metrics_overall_m4_fticl_one_llama8b_all_allversions_crowspairs.csv
stereoset,StereoSet,Base Model Inference,Base,,SS Score,SS Score overall,50,58.2905,8.29053,68.00223461,ICAT Score,higher,llama_8b_base,llama_8b,,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/stereoset_metrics_llama_8b.csv
stereoset,StereoSet,DIY-Show 0-shot,ICL,0,SS Score,SS Score overall,50,50.2043,0.204296,,,lower,m4_base_icl,stereoset_metrics_m4_baseicl_zero_llama8b_allstrat_stereoset,all_strategies,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/stereoset_metrics_m4_baseicl_zero_llama8b_allstrat_stereoset.csv
stereoset,StereoSet,DIY-Show 1-shot,ICL,1,SS Score,SS Score overall,50,29.6077,20.3923,,,lower,m4_base_icl,stereoset_metrics_m4_baseicl_one_llama8b_allstrat_stereoset,all_strategies,results/new_results/m4_base_icl_one/m4_base_icl_one_allmodels_20260514_124333/llama8b/evalshared/stereoset_metrics_m4_baseicl_one_llama8b_allstrat_stereoset.csv
stereoset,StereoSet,DIY IT,DIY IT,,SS Score,SS Score overall,50,56.9223,6.92228,69.1819143,ICAT Score,higher,m3_finetune_llama_ms500,m3_finetune_allstrat,all_strategies,results/new_results/m3_finetune_llama_ms500/evalshared/stereoset_metrics_m3_finetune_allstrat.csv
stereoset,StereoSet,"DIY Two Pass (No IT), 0-shot",No IT,0,SS Score,SS Score overall,50,45.1129,4.88712,43.71166185,ICAT Score,higher,m6_self_debiasing,m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__base__all_strategies/stereoset/stereoset_metrics_m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies.csv
stereoset,StereoSet,"DIY Two Pass (No IT), 1-shot",No IT,1,SS Score,SS Score overall,50,46.6576,3.34238,47.45986446,ICAT Score,higher,m6_self_debiasing,m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260319_shot125_twopass_sep/eval/m6_two_pass_one__base__all_strategies/stereoset/stereoset_metrics_m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies.csv
stereoset,StereoSet,"DIY Two Pass (No IT), 2-shot",No IT,2,SS Score,SS Score overall,50,46.2478,3.75219,50.83153902,ICAT Score,higher,m6_self_debiasing,m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_crows_stereoset_fix/eval/m6_two_pass_two__base__all_strategies/stereoset/stereoset_metrics_m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies.csv
stereoset,StereoSet,"DIY Two Pass (IT), 0-shot",IT,0,SS Score,SS Score overall,50,43.8702,6.12982,43.61039667,ICAT Score,higher,m6_self_debiasing,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/stereoset/stereoset_metrics_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
stereoset,StereoSet,"DIY Two Pass (IT), 1-shot",IT,1,SS Score,SS Score overall,50,45.3879,4.61213,47.26451581,ICAT Score,higher,m6_self_debiasing,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/stereoset/stereoset_metrics_m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
stereoset,StereoSet,"DIY Two Pass (IT), 2-shot",IT,2,SS Score,SS Score overall,50,44.6617,5.33827,47.88071899,ICAT Score,higher,m6_self_debiasing,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_crows_stereoset_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/stereoset/stereoset_metrics_m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
stereoset,StereoSet,DIY-Teach-Show 0-shot,IT+ICL,0,SS Score,SS Score overall,50,60.0686,10.0686,,,lower,m4_ft_icl,stereoset_metrics_m4_fticl_zero_llama8b_all_allversions_stereoset,all_strategies,results/new_results/m4_ft_icl_zero/m4_ft_icl_zero_allmodels_20260514_143756/llama8b/evalshared/stereoset_metrics_m4_fticl_zero_llama8b_all_allversions_stereoset.csv
stereoset,StereoSet,DIY-Teach-Show 1-shot,IT+ICL,1,SS Score,SS Score overall,50,56.5187,6.51874,,,lower,m4_ft_icl,stereoset_metrics_m4_fticl_one_llama8b_all_allversions_stereoset,all_strategies,results/new_results/m4_ft_icl_one/m4_ft_icl_one_allmodels_20260514_143757/llama8b/evalshared/stereoset_metrics_m4_fticl_one_llama8b_all_allversions_stereoset.csv
bbq,BBQ Ambig.,Base Model Inference,Base,,Bias_score_ambig,Bias score ambig.,0,7.39,7.39,3.047,mean_abs_bias_disambig,lower,llama_8b_base,llama_8b,,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/bbq/bbq_metrics_baseline_evalshared_all_20260306_1249.csv
bbq,BBQ Ambig.,DIY-Show 0-shot,ICL,0,Bias_score_ambig,Bias score ambig.,0,4.056,4.056,,,lower,m4_base_icl,bbq_metrics_m4_baseicl_zero_llama8b_allstrat_bbq,all_strategies,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_allstrat_bbq.csv
bbq,BBQ Ambig.,DIY-Show 1-shot,ICL,1,Bias_score_ambig,Bias score ambig.,0,3.1054,3.1054,,,lower,m4_base_icl,bbq_metrics_m4_baseicl_one_llama8b_allstrat_bbq,all_strategies,mean_strategy_metrics:results/new_results/m4_base_icl_one/m4_base_icl_one_allmodels_20260514_124333/llama8b/bbq/bbq_metrics_m4_baseicl_one_llama8b_sr_bbq.csv|results/new_results/m4_base_icl_one/m4_base_icl_one_allmodels_20260514_124333/llama8b/bbq/bbq_metrics_m4_baseicl_one_llama8b_ci_bbq.csv|results/new_results/m4_base_icl_one/m4_base_icl_one_allmodels_20260514_124333/llama8b/bbq/bbq_metrics_m4_baseicl_one_llama8b_ind_bbq.csv|results/new_results/m4_base_icl_one/m4_base_icl_one_allmodels_20260514_124333/llama8b/bbq/bbq_metrics_m4_baseicl_one_llama8b_pt_bbq.csv|results/new_results/m4_base_icl_one/m4_base_icl_one_allmodels_20260514_124333/llama8b/bbq/bbq_metrics_m4_baseicl_one_llama8b_pc_bbq.csv
bbq,BBQ Ambig.,DIY IT,DIY IT,,Bias_score_ambig,Bias score ambig.,0,4.448,4.448,0.797,mean_abs_bias_disambig,lower,m3_finetune_llama_ms500,m3_finetune_allstrat:m3_finetune_allstrat_instr_off_ALL,all_strategies,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_allstrat.csv
bbq,BBQ Ambig.,"DIY Two Pass (No IT), 0-shot",No IT,0,Bias_score_ambig,Bias score ambig.,0,2.281,2.281,0.675,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__base__all_strategies,all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_zero/eval/m6_two_pass__base__all_strategies/bbq
bbq,BBQ Ambig.,"DIY Two Pass (No IT), 1-shot",No IT,1,Bias_score_ambig,Bias score ambig.,0,3.744,3.744,0.96,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_one__base__all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_one/eval/m6_two_pass_one__base__all_strategies/bbq/bbq_metrics.csv
bbq,BBQ Ambig.,"DIY Two Pass (No IT), 2-shot",No IT,2,Bias_score_ambig,Bias score ambig.,0,4.356,4.356,0.888,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_two__base__all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260330_twoshot_bbq_allstrategies_fix/eval/m6_two_pass_two__base__all_strategies/bbq/bbq_metrics.csv
bbq,BBQ Ambig.,"DIY Two Pass (IT), 0-shot",IT,0,Bias_score_ambig,Bias score ambig.,0,1.604,1.604,0.886,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_zero/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq
bbq,BBQ Ambig.,"DIY Two Pass (IT), 1-shot",IT,1,Bias_score_ambig,Bias score ambig.,0,3.689,3.689,1.273,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_one/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq
bbq,BBQ Ambig.,"DIY Two Pass (IT), 2-shot",IT,2,Bias_score_ambig,Bias score ambig.,0,4.501,4.501,1.802,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260330_twoshot_bbq_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq/bbq_metrics.csv
bbq,BBQ Ambig.,DIY-Teach-Show 0-shot,IT+ICL,0,Bias_score_ambig,Bias score ambig.,0,3.725,3.725,,,lower,m4_ft_icl,bbq_metrics_m4_fticl_zero_llama8b_all_allversions_bbq,all_strategies,results/new_results/m4_ft_icl_zero/m4_ft_icl_zero_allmodels_20260514_143756/llama8b/bbq/bbq_metrics_m4_fticl_zero_llama8b_all_allversions_bbq.csv
bbq,BBQ Ambig.,DIY-Teach-Show 1-shot,IT+ICL,1,Bias_score_ambig,Bias score ambig.,0,3.898,3.898,,,lower,m4_ft_icl,bbq_metrics_m4_fticl_one_llama8b_all_allversions_bbq,all_strategies,mean_strategy_metrics:results/new_results/m4_ft_icl_one/m4_ft_icl_one_allmodels_20260514_143757/llama8b/bbq/bbq_metrics_m4_fticl_one_llama8b_sr_bbq.csv|results/new_results/m4_ft_icl_one/m4_ft_icl_one_allmodels_20260514_143757/llama8b/bbq/bbq_metrics_m4_fticl_one_llama8b_ci_bbq.csv|results/new_results/m4_ft_icl_one/m4_ft_icl_one_allmodels_20260514_143757/llama8b/bbq/bbq_metrics_m4_fticl_one_llama8b_ind_bbq.csv|results/new_results/m4_ft_icl_one/m4_ft_icl_one_allmodels_20260514_143757/llama8b/bbq/bbq_metrics_m4_fticl_one_llama8b_pt_bbq.csv|results/new_results/m4_ft_icl_one/m4_ft_icl_one_allmodels_20260514_143757/llama8b/bbq/bbq_metrics_m4_fticl_one_llama8b_pc_bbq.csv
bbq,BBQ Disambig.,Base Model Inference,Base,,Bias_score_disambig,Bias score disambig.,0,3.047,3.047,3.047,mean_abs_bias_disambig,lower,llama_8b_base,llama_8b,,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/bbq/bbq_metrics_baseline_evalshared_all_20260306_1249.csv
bbq,BBQ Disambig.,DIY-Show 0-shot,ICL,0,Bias_score_disambig,Bias score disambig.,0,1.468,1.468,,,lower,m4_base_icl,bbq_metrics_m4_baseicl_zero_llama8b_allstrat_bbq,all_strategies,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_allstrat_bbq.csv
bbq,BBQ Disambig.,DIY-Show 1-shot,ICL,1,Bias_score_disambig,Bias score disambig.,0,1.0664,1.0664,,,lower,m4_base_icl,bbq_metrics_m4_baseicl_one_llama8b_allstrat_bbq,all_strategies,mean_strategy_metrics:results/new_results/m4_base_icl_one/m4_base_icl_one_allmodels_20260514_124333/llama8b/bbq/bbq_metrics_m4_baseicl_one_llama8b_sr_bbq.csv|results/new_results/m4_base_icl_one/m4_base_icl_one_allmodels_20260514_124333/llama8b/bbq/bbq_metrics_m4_baseicl_one_llama8b_ci_bbq.csv|results/new_results/m4_base_icl_one/m4_base_icl_one_allmodels_20260514_124333/llama8b/bbq/bbq_metrics_m4_baseicl_one_llama8b_ind_bbq.csv|results/new_results/m4_base_icl_one/m4_base_icl_one_allmodels_20260514_124333/llama8b/bbq/bbq_metrics_m4_baseicl_one_llama8b_pt_bbq.csv|results/new_results/m4_base_icl_one/m4_base_icl_one_allmodels_20260514_124333/llama8b/bbq/bbq_metrics_m4_baseicl_one_llama8b_pc_bbq.csv
bbq,BBQ Disambig.,DIY IT,DIY IT,,Bias_score_disambig,Bias score disambig.,0,0.797,0.797,0.797,mean_abs_bias_disambig,lower,m3_finetune_llama_ms500,m3_finetune_allstrat:m3_finetune_allstrat_instr_off_ALL,all_strategies,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_allstrat.csv
bbq,BBQ Disambig.,"DIY Two Pass (No IT), 0-shot",No IT,0,Bias_score_disambig,Bias score disambig.,0,0.662,0.662,0.675,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__base__all_strategies,all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_zero/eval/m6_two_pass__base__all_strategies/bbq
bbq,BBQ Disambig.,"DIY Two Pass (No IT), 1-shot",No IT,1,Bias_score_disambig,Bias score disambig.,0,0.96,0.96,0.96,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_one__base__all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_one/eval/m6_two_pass_one__base__all_strategies/bbq/bbq_metrics.csv
bbq,BBQ Disambig.,"DIY Two Pass (No IT), 2-shot",No IT,2,Bias_score_disambig,Bias score disambig.,0,0.888,0.888,0.888,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_two__base__all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260330_twoshot_bbq_allstrategies_fix/eval/m6_two_pass_two__base__all_strategies/bbq/bbq_metrics.csv
bbq,BBQ Disambig.,"DIY Two Pass (IT), 0-shot",IT,0,Bias_score_disambig,Bias score disambig.,0,0.895,0.895,0.886,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_zero/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq
bbq,BBQ Disambig.,"DIY Two Pass (IT), 1-shot",IT,1,Bias_score_disambig,Bias score disambig.,0,1.283,1.283,1.273,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_one/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq
bbq,BBQ Disambig.,"DIY Two Pass (IT), 2-shot",IT,2,Bias_score_disambig,Bias score disambig.,0,1.802,1.802,1.802,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260330_twoshot_bbq_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq/bbq_metrics.csv
bbq,BBQ Disambig.,DIY-Teach-Show 0-shot,IT+ICL,0,Bias_score_disambig,Bias score disambig.,0,1.958,1.958,,,lower,m4_ft_icl,bbq_metrics_m4_fticl_zero_llama8b_all_allversions_bbq,all_strategies,results/new_results/m4_ft_icl_zero/m4_ft_icl_zero_allmodels_20260514_143756/llama8b/bbq/bbq_metrics_m4_fticl_zero_llama8b_all_allversions_bbq.csv
bbq,BBQ Disambig.,DIY-Teach-Show 1-shot,IT+ICL,1,Bias_score_disambig,Bias score disambig.,0,1.5358,1.5358,,,lower,m4_ft_icl,bbq_metrics_m4_fticl_one_llama8b_all_allversions_bbq,all_strategies,mean_strategy_metrics:results/new_results/m4_ft_icl_one/m4_ft_icl_one_allmodels_20260514_143757/llama8b/bbq/bbq_metrics_m4_fticl_one_llama8b_sr_bbq.csv|results/new_results/m4_ft_icl_one/m4_ft_icl_one_allmodels_20260514_143757/llama8b/bbq/bbq_metrics_m4_fticl_one_llama8b_ci_bbq.csv|results/new_results/m4_ft_icl_one/m4_ft_icl_one_allmodels_20260514_143757/llama8b/bbq/bbq_metrics_m4_fticl_one_llama8b_ind_bbq.csv|results/new_results/m4_ft_icl_one/m4_ft_icl_one_allmodels_20260514_143757/llama8b/bbq/bbq_metrics_m4_fticl_one_llama8b_pt_bbq.csv|results/new_results/m4_ft_icl_one/m4_ft_icl_one_allmodels_20260514_143757/llama8b/bbq/bbq_metrics_m4_fticl_one_llama8b_pc_bbq.csv
winobias,WinoBias,Base Model Inference,Base,,abs_pro_anti_gap,Abs. pro/anti gap,0,0.276515,0.276515,0.27651515,abs_pro_anti_gap,lower,llama_8b_base,llama_8b,,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/winobias/llama_8b/winobias_metrics_overall_llama_8b.csv
winobias,WinoBias,DIY-Show 0-shot,ICL,0,abs_pro_anti_gap,Abs. pro/anti gap,0,0.277778,0.277778,,,lower,m4_base_icl,winobias_metrics_overall_m4_baseicl_zero_llama8b_allstrat_winobias,all_strategies,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/winobias/m4_baseicl_zero_llama8b_allstrat_winobias/winobias_metrics_overall_m4_baseicl_zero_llama8b_allstrat_winobias.csv
winobias,WinoBias,DIY-Show 1-shot,ICL,1,abs_pro_anti_gap,Abs. pro/anti gap,0,0.277778,0.277778,,,lower,m4_base_icl,winobias_metrics_overall_m4_baseicl_one_llama8b_allstrat_winobias,all_strategies,results/new_results/m4_base_icl_one/m4_base_icl_one_allmodels_20260514_124333/llama8b/evalshared/winobias/m4_baseicl_one_llama8b_allstrat_winobias/winobias_metrics_overall_m4_baseicl_one_llama8b_allstrat_winobias.csv
winobias,WinoBias,DIY IT,DIY IT,,abs_pro_anti_gap,Abs. pro/anti gap,0,0.261364,0.261364,0.26136364,abs_pro_anti_gap,lower,m3_finetune_llama_ms500,m3_finetune_allstrat_winobias,all_strategies,results/new_results/m3_finetune_llama_ms500/evalshared/winobias/m3_finetune_allstrat_winobias/winobias_metrics_overall_m3_finetune_allstrat_winobias.csv
winobias,WinoBias,"DIY Two Pass (No IT), 0-shot",No IT,0,abs_pro_anti_gap,Abs. pro/anti gap,0,0.119949,0.119949,0.11994949,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__base__all_strategies/winobias/winobias/m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies.csv
winobias,WinoBias,"DIY Two Pass (No IT), 1-shot",No IT,1,abs_pro_anti_gap,Abs. pro/anti gap,0,0.0833333,0.0833333,0.08333333,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260319_shot125_twopass_sep/eval/m6_two_pass_one__base__all_strategies/winobias/winobias/m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies.csv
