figure_slug,figure_title,strategy_key,strategy_label,ft_checkpoint,dataset_key,panel_label,method,shot,metric,metric_label,ideal_value,native_value,normalized_bias_error_plotted,aggregate_score,aggregate_score_label,aggregate_direction,name,model,strategy,metric_source_file
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,stereoset,StereoSet,ICL,,SS Score,SS Score overall,50,50.2043,0.204296,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b,all_strategies,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/stereoset_metrics_m4_baseicl_zero_llama8b_allstrat_stereoset.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,stereoset,StereoSet,DIY IT,,SS Score,SS Score overall,50,56.9223,6.92228,69.1819143,ICAT Score,higher,m3_finetune_llama_ms500,m3_finetune_allstrat,all_strategies,results/new_results/m3_finetune_llama_ms500/evalshared/stereoset_metrics_m3_finetune_allstrat.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,stereoset,StereoSet,"DIY Two Pass (No IT), 0-shot",0,SS Score,SS Score overall,50,45.1129,4.88712,43.71166185,ICAT Score,higher,m6_self_debiasing,m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__base__all_strategies/stereoset/stereoset_metrics_m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,stereoset,StereoSet,"DIY Two Pass (No IT), 1-shot",1,SS Score,SS Score overall,50,46.6576,3.34238,47.45986446,ICAT Score,higher,m6_self_debiasing,m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260319_shot125_twopass_sep/eval/m6_two_pass_one__base__all_strategies/stereoset/stereoset_metrics_m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,stereoset,StereoSet,"DIY Two Pass (No IT), 2-shot",2,SS Score,SS Score overall,50,46.2478,3.75219,50.83153902,ICAT Score,higher,m6_self_debiasing,m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_crows_stereoset_fix/eval/m6_two_pass_two__base__all_strategies/stereoset/stereoset_metrics_m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,stereoset,StereoSet,"DIY Two Pass (IT), 0-shot",0,SS Score,SS Score overall,50,43.8702,6.12982,43.61039667,ICAT Score,higher,m6_self_debiasing,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/stereoset/stereoset_metrics_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,stereoset,StereoSet,"DIY Two Pass (IT), 1-shot",1,SS Score,SS Score overall,50,45.3879,4.61213,47.26451581,ICAT Score,higher,m6_self_debiasing,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/stereoset/stereoset_metrics_m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,stereoset,StereoSet,"DIY Two Pass (IT), 2-shot",2,SS Score,SS Score overall,50,44.6617,5.33827,47.88071899,ICAT Score,higher,m6_self_debiasing,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_crows_stereoset_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/stereoset/stereoset_metrics_m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Ambig.,Base Model Inference,,Bias_score_ambig,Bias score ambig.,0,7.39,7.39,3.047,mean_abs_bias_disambig,lower,llama_8b_base,llama_8b,,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/bbq/bbq_metrics_baseline_evalshared_all_20260306_1249.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Ambig.,ICL,,Bias_score_ambig,Bias score ambig.,0,4.056,4.056,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b,all_strategies,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_allstrat_bbq.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Ambig.,DIY IT,,Bias_score_ambig,Bias score ambig.,0,4.448,4.448,0.797,mean_abs_bias_disambig,lower,m3_finetune_llama_ms500,m3_finetune_allstrat:m3_finetune_allstrat_instr_off_ALL,all_strategies,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_allstrat.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Ambig.,"DIY Two Pass (No IT), 0-shot",0,Bias_score_ambig,Bias score ambig.,0,2.281,2.281,0.675,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__base__all_strategies,all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_zero/eval/m6_two_pass__base__all_strategies/bbq
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Ambig.,"DIY Two Pass (No IT), 1-shot",1,Bias_score_ambig,Bias score ambig.,0,3.744,3.744,0.96,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_one__base__all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_one/eval/m6_two_pass_one__base__all_strategies/bbq/bbq_metrics.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Ambig.,"DIY Two Pass (No IT), 2-shot",2,Bias_score_ambig,Bias score ambig.,0,4.356,4.356,0.888,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_two__base__all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260330_twoshot_bbq_allstrategies_fix/eval/m6_two_pass_two__base__all_strategies/bbq/bbq_metrics.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Ambig.,"DIY Two Pass (IT), 0-shot",0,Bias_score_ambig,Bias score ambig.,0,1.604,1.604,0.886,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_zero/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Ambig.,"DIY Two Pass (IT), 1-shot",1,Bias_score_ambig,Bias score ambig.,0,3.689,3.689,1.273,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_one/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Ambig.,"DIY Two Pass (IT), 2-shot",2,Bias_score_ambig,Bias score ambig.,0,4.501,4.501,1.802,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260330_twoshot_bbq_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq/bbq_metrics.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Disambig.,Base Model Inference,,Bias_score_disambig,Bias score disambig.,0,3.047,3.047,3.047,mean_abs_bias_disambig,lower,llama_8b_base,llama_8b,,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/bbq/bbq_metrics_baseline_evalshared_all_20260306_1249.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Disambig.,ICL,,Bias_score_disambig,Bias score disambig.,0,1.468,1.468,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b,all_strategies,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_allstrat_bbq.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Disambig.,DIY IT,,Bias_score_disambig,Bias score disambig.,0,0.797,0.797,0.797,mean_abs_bias_disambig,lower,m3_finetune_llama_ms500,m3_finetune_allstrat:m3_finetune_allstrat_instr_off_ALL,all_strategies,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_allstrat.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Disambig.,"DIY Two Pass (No IT), 0-shot",0,Bias_score_disambig,Bias score disambig.,0,0.662,0.662,0.675,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__base__all_strategies,all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_zero/eval/m6_two_pass__base__all_strategies/bbq
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Disambig.,"DIY Two Pass (No IT), 1-shot",1,Bias_score_disambig,Bias score disambig.,0,0.96,0.96,0.96,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_one__base__all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_one/eval/m6_two_pass_one__base__all_strategies/bbq/bbq_metrics.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Disambig.,"DIY Two Pass (No IT), 2-shot",2,Bias_score_disambig,Bias score disambig.,0,0.888,0.888,0.888,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_two__base__all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260330_twoshot_bbq_allstrategies_fix/eval/m6_two_pass_two__base__all_strategies/bbq/bbq_metrics.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Disambig.,"DIY Two Pass (IT), 0-shot",0,Bias_score_disambig,Bias score disambig.,0,0.895,0.895,0.886,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_zero/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Disambig.,"DIY Two Pass (IT), 1-shot",1,Bias_score_disambig,Bias score disambig.,0,1.283,1.283,1.273,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_one/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,bbq,BBQ Disambig.,"DIY Two Pass (IT), 2-shot",2,Bias_score_disambig,Bias score disambig.,0,1.802,1.802,1.802,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260330_twoshot_bbq_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/bbq/bbq_metrics.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,winobias,WinoBias,Base Model Inference,,abs_pro_anti_gap,Abs. pro/anti gap,0,0.276515,0.276515,0.27651515,abs_pro_anti_gap,lower,llama_8b_base,llama_8b,,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/winobias/llama_8b/winobias_metrics_overall_llama_8b.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,winobias,WinoBias,ICL,,abs_pro_anti_gap,Abs. pro/anti gap,0,0.277778,0.277778,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b,all_strategies,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/winobias/m4_baseicl_zero_llama8b_allstrat_winobias/winobias_metrics_overall_m4_baseicl_zero_llama8b_allstrat_winobias.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,winobias,WinoBias,DIY IT,,abs_pro_anti_gap,Abs. pro/anti gap,0,0.261364,0.261364,0.26136364,abs_pro_anti_gap,lower,m3_finetune_llama_ms500,m3_finetune_allstrat_winobias,all_strategies,results/new_results/m3_finetune_llama_ms500/evalshared/winobias/m3_finetune_allstrat_winobias/winobias_metrics_overall_m3_finetune_allstrat_winobias.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,winobias,WinoBias,"DIY Two Pass (No IT), 0-shot",0,abs_pro_anti_gap,Abs. pro/anti gap,0,0.119949,0.119949,0.11994949,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__base__all_strategies/winobias/winobias/m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,winobias,WinoBias,"DIY Two Pass (No IT), 1-shot",1,abs_pro_anti_gap,Abs. pro/anti gap,0,0.0833333,0.0833333,0.08333333,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260319_shot125_twopass_sep/eval/m6_two_pass_one__base__all_strategies/winobias/winobias/m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass_one__base__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,winobias,WinoBias,"DIY Two Pass (No IT), 2-shot",2,abs_pro_anti_gap,Abs. pro/anti gap,0,0.0795455,0.0795455,0.07954545,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_wino_allstrategies_fix/eval/m6_two_pass_two__base__all_strategies/winobias/winobias/m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass_two__base__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,winobias,WinoBias,"DIY Two Pass (IT), 0-shot",0,abs_pro_anti_gap,Abs. pro/anti gap,0,0.0896465,0.0896465,0.08964646,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winobias/winobias/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,winobias,WinoBias,"DIY Two Pass (IT), 1-shot",1,abs_pro_anti_gap,Abs. pro/anti gap,0,0.0707071,0.0707071,0.07070707,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winobias/winobias/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass_one__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,winobias,WinoBias,"DIY Two Pass (IT), 2-shot",2,abs_pro_anti_gap,Abs. pro/anti gap,0,0.094697,0.094697,0.09469697,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_wino_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/winobias/winobias/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass_two__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,winogender,WinoGender,Base Model Inference,,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.191667,0.191667,18.33333333,mean_abs_occupation_gender_bias_score,lower,llama_8b_base,llama_8b,,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/winogender/llama_8b/winogender_metrics_overall_llama_8b.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,winogender,WinoGender,ICL,,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.179167,0.179167,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b,all_strategies,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/winogender/m4_baseicl_zero_llama8b_allstrat_winogender/winogender_metrics_overall_m4_baseicl_zero_llama8b_allstrat_winogender.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,winogender,WinoGender,DIY IT,,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.225,0.225,20.83333333,mean_abs_occupation_gender_bias_score,lower,m3_finetune_llama_ms500,m3_finetune_allstrat_winogender,all_strategies,results/new_results/m3_finetune_llama_ms500/evalshared/winogender/m3_finetune_allstrat_winogender/winogender_metrics_overall_m3_finetune_allstrat_winogender.csv
all_strategies_all_versions,"All interventions, all-version IT checkpoint",all_strategies,All interventions,all-version,winogender,WinoGender,"DIY Two Pass (No IT), 0-shot",0,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.158333,0.158333,15.0,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies,all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__base__all_strategies/winogender/winogender/m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies/winogender_metrics_overall_m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies.csv
