method,intervention_key,intervention_label,dataset_key,panel_label,metric,metric_label,ideal_value,native_value,normalized_bias_error,base_normalized_bias_error,bias_error_reduction_vs_base,aggregate_score,aggregate_score_label,aggregate_direction,name,model,strategy,metric_source_file
DIY IT,stereotype_replacement,Stereotype replacement,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.265152,0.265152,0.276515,0.011363,0.26515152,abs_pro_anti_gap,lower,m3_finetune_llama_ms500,m3_finetune_sr_indft_winobias,stereotype_replacement,results/new_results/m3_finetune_llama_ms500/evalshared/winobias/m3_finetune_sr_indft_winobias/winobias_metrics_overall_m3_finetune_sr_indft_winobias.csv
DIY IT,stereotype_replacement,Stereotype replacement,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.179167,0.179167,0.191667,0.0125,15.41666667,mean_abs_occupation_gender_bias_score,lower,m3_finetune_llama_ms500,m3_finetune_sr_indft_winogender,stereotype_replacement,results/new_results/m3_finetune_llama_ms500/evalshared/winogender/m3_finetune_sr_indft_winogender/winogender_metrics_overall_m3_finetune_sr_indft_winogender.csv
DIY Two Pass (No IT),stereotype_replacement,Stereotype replacement,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,44.23,5.77,15.19,9.42,44.23,metric_score,target50,m6_self_debiasing,m6_two_pass__base__stereotype_replacement_self_debias_two_pass_stereotype_replacement,stereotype_replacement,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__stereotype_replacement/crowspairs/crows_pairs_metrics_overall_m6_two_pass__base__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv
DIY Two Pass (No IT),stereotype_replacement,Stereotype replacement,stereoset,StereoSet,SS Score,SS Score overall,50,43.4132,6.5868,8.29053,1.70373,45.00344776,ICAT Score,higher,m6_self_debiasing,m6_two_pass__base__stereotype_replacement_self_debias_two_pass_stereotype_replacement,stereotype_replacement,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__stereotype_replacement/stereoset/stereoset_metrics_m6_two_pass__base__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv
DIY Two Pass (No IT),stereotype_replacement,Stereotype replacement,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,4.284,4.284,7.39,3.106,0.539,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__base__stereotype_replacement,stereotype_replacement,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__stereotype_replacement/bbq/bbq_metrics.csv
DIY Two Pass (No IT),stereotype_replacement,Stereotype replacement,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.539,0.539,3.047,2.508,0.539,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__base__stereotype_replacement,stereotype_replacement,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__stereotype_replacement/bbq/bbq_metrics.csv
DIY Two Pass (No IT),stereotype_replacement,Stereotype replacement,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.17803,0.17803,0.276515,0.098485,0.1780303,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass__base__stereotype_replacement_self_debias_two_pass_stereotype_replacement,stereotype_replacement,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__base__stereotype_replacement/winobias/winobias/m6_two_pass__base__stereotype_replacement_self_debias_two_pass_stereotype_replacement/winobias_metrics_overall_m6_two_pass__base__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv
DIY Two Pass (No IT),stereotype_replacement,Stereotype replacement,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.15,0.15,0.191667,0.041667,14.16666667,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass__base__stereotype_replacement_self_debias_two_pass_stereotype_replacement,stereotype_replacement,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__base__stereotype_replacement/winogender/winogender/m6_two_pass__base__stereotype_replacement_self_debias_two_pass_stereotype_replacement/winogender_metrics_overall_m6_two_pass__base__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv
DIY Two Pass (IT),stereotype_replacement,Stereotype replacement,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,46.02,3.98,15.19,11.21,46.02,metric_score,target50,m6_self_debiasing,m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement_self_debias_two_pass_stereotype_replacement,stereotype_replacement,results/new_results/m6_self_debiasing/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement/crowspairs/crows_pairs_metrics_overall_m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv
DIY Two Pass (IT),stereotype_replacement,Stereotype replacement,stereoset,StereoSet,SS Score,SS Score overall,50,44.0712,5.92883,8.29053,2.3617,42.73110545,ICAT Score,higher,m6_self_debiasing,m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement_self_debias_two_pass_stereotype_replacement,stereotype_replacement,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_missing_stereoset/eval/m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement/stereoset/stereoset_metrics_m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv
DIY Two Pass (IT),stereotype_replacement,Stereotype replacement,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,4.987,4.987,7.39,2.403,1.142,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement:m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement_self_debias_two_pass_stereotype_replacement_fp_finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions_Age,stereotype_replacement,recomputed_from_predictions:outputs/new_outputs/m6_self_debiasing/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement/bbq
DIY Two Pass (IT),stereotype_replacement,Stereotype replacement,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,1.811,1.811,3.047,1.236,1.142,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement:m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement_self_debias_two_pass_stereotype_replacement_fp_finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions_Age,stereotype_replacement,recomputed_from_predictions:outputs/new_outputs/m6_self_debiasing/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement/bbq
DIY Two Pass (IT),stereotype_replacement,Stereotype replacement,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.146465,0.146465,0.276515,0.13005,0.14646465,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement_self_debias_two_pass_stereotype_replacement,stereotype_replacement,results/new_results/m6_self_debiasing/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement/winobias/winobias/m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement_self_debias_two_pass_stereotype_replacement/winobias_metrics_overall_m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv
DIY Two Pass (IT),stereotype_replacement,Stereotype replacement,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.170833,0.170833,0.191667,0.020834,15.41666667,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement_self_debias_two_pass_stereotype_replacement,stereotype_replacement,results/new_results/m6_self_debiasing/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement/winogender/winogender/m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement_self_debias_two_pass_stereotype_replacement/winogender_metrics_overall_m6_two_pass__finetuned_ms-500-stereotype-replacement-opinion-action-event-allversions__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv
ICL,individuating,Individuation,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,58.29,8.29,15.19,6.9,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_ind,individuating,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama8b_ind_crowspairs.csv
ICL,individuating,Individuation,stereoset,StereoSet,SS Score,SS Score overall,50,55.9065,5.90646,8.29053,2.38407,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_ind,individuating,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/stereoset_metrics_m4_baseicl_zero_llama8b_ind_stereoset.csv
ICL,individuating,Individuation,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,3.93,3.93,7.39,3.46,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_ind,individuating,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_ind_bbq.csv
ICL,individuating,Individuation,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.996,0.996,3.047,2.051,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_ind,individuating,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_ind_bbq.csv
ICL,individuating,Individuation,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.277778,0.277778,0.276515,-0.001263,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_ind,individuating,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/winobias/m4_baseicl_zero_llama8b_ind_winobias/winobias_metrics_overall_m4_baseicl_zero_llama8b_ind_winobias.csv
ICL,individuating,Individuation,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.179167,0.179167,0.191667,0.0125,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_ind,individuating,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/winogender/m4_baseicl_zero_llama8b_ind_winogender/winogender_metrics_overall_m4_baseicl_zero_llama8b_ind_winogender.csv
DIY IT,individuating,Individuation,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,64.32,14.32,15.19,0.87,64.32,metric_score,target50,m3_finetune_llama_ms500,m3_finetune_ind,individuating,results/new_results/m3_finetune_llama_ms500/evalshared/crows_pairs_metrics_overall_m3_finetune_ind.csv
DIY IT,individuating,Individuation,stereoset,StereoSet,SS Score,SS Score overall,50,57.3079,7.30785,8.29053,0.98268,68.93530572,ICAT Score,higher,m3_finetune_llama_ms500,m3_finetune_ind,individuating,results/new_results/m3_finetune_llama_ms500/evalshared/stereoset_metrics_m3_finetune_ind.csv
DIY IT,individuating,Individuation,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,4.804,4.804,7.39,2.586,0.731,mean_abs_bias_disambig,lower,m3_finetune_llama_ms500,m3_finetune_ind:m3_finetune_ind_instr_off_ALL,individuating,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_ind.csv
DIY IT,individuating,Individuation,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.731,0.731,3.047,2.316,0.731,mean_abs_bias_disambig,lower,m3_finetune_llama_ms500,m3_finetune_ind:m3_finetune_ind_instr_off_ALL,individuating,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_ind.csv
DIY IT,individuating,Individuation,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.286616,0.286616,0.276515,-0.010101,0.28661616,abs_pro_anti_gap,lower,m3_finetune_llama_ms500,m3_finetune_ind_winobias,individuating,results/new_results/m3_finetune_llama_ms500/evalshared/winobias/m3_finetune_ind_winobias/winobias_metrics_overall_m3_finetune_ind_winobias.csv
DIY IT,individuating,Individuation,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.220833,0.220833,0.191667,-0.029166,21.25,mean_abs_occupation_gender_bias_score,lower,m3_finetune_llama_ms500,m3_finetune_ind_winogender,individuating,results/new_results/m3_finetune_llama_ms500/evalshared/winogender/m3_finetune_ind_winogender/winogender_metrics_overall_m3_finetune_ind_winogender.csv
DIY Two Pass (No IT),individuating,Individuation,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,47.55,2.45,15.19,12.74,47.55,metric_score,target50,m6_self_debiasing,m6_two_pass__base__individuating_self_debias_two_pass_individuating,individuating,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__individuating/crowspairs/crows_pairs_metrics_overall_m6_two_pass__base__individuating_self_debias_two_pass_individuating.csv
DIY Two Pass (No IT),individuating,Individuation,stereoset,StereoSet,SS Score,SS Score overall,50,43.5123,6.4877,8.29053,1.80283,46.98944886,ICAT Score,higher,m6_self_debiasing,m6_two_pass__base__individuating_self_debias_two_pass_individuating,individuating,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__individuating/stereoset/stereoset_metrics_m6_two_pass__base__individuating_self_debias_two_pass_individuating.csv
DIY Two Pass (No IT),individuating,Individuation,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,4.103,4.103,7.39,3.287,0.177,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__base__individuating,individuating,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__individuating/bbq/bbq_metrics.csv
DIY Two Pass (No IT),individuating,Individuation,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.177,0.177,3.047,2.87,0.177,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__base__individuating,individuating,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__base__individuating/bbq/bbq_metrics.csv
DIY Two Pass (No IT),individuating,Individuation,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.218434,0.218434,0.276515,0.058081,0.21843434,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass__base__individuating_self_debias_two_pass_individuating,individuating,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__base__individuating/winobias/winobias/m6_two_pass__base__individuating_self_debias_two_pass_individuating/winobias_metrics_overall_m6_two_pass__base__individuating_self_debias_two_pass_individuating.csv
DIY Two Pass (No IT),individuating,Individuation,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.166667,0.166667,0.191667,0.025,16.66666667,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass__base__individuating_self_debias_two_pass_individuating,individuating,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__base__individuating/winogender/winogender/m6_two_pass__base__individuating_self_debias_two_pass_individuating/winogender_metrics_overall_m6_two_pass__base__individuating_self_debias_two_pass_individuating.csv
DIY Two Pass (IT),individuating,Individuation,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,49.93,0.07,15.19,15.12,49.93,metric_score,target50,m6_self_debiasing,m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating_self_debias_two_pass_individuating,individuating,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating/crowspairs/crows_pairs_metrics_overall_m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating_self_debias_two_pass_individuating.csv
DIY Two Pass (IT),individuating,Individuation,stereoset,StereoSet,SS Score,SS Score overall,50,45.1781,4.82187,8.29053,3.46866,50.47444537,ICAT Score,higher,m6_self_debiasing,m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating_self_debias_two_pass_individuating,individuating,results/new_results/m6_self_debiasing/m6sd_20260317_main3/eval/m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating/stereoset/stereoset_metrics_m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating_self_debias_two_pass_individuating.csv
DIY Two Pass (IT),individuating,Individuation,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,5.004,5.004,7.39,2.386,0.188,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating,individuating,results/new_results/m6_self_debiasing/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating/bbq/bbq_metrics.csv
DIY Two Pass (IT),individuating,Individuation,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.188,0.188,3.047,2.859,0.188,mean_abs_bias_disambig,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating,individuating,results/new_results/m6_self_debiasing/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating/bbq/bbq_metrics.csv
DIY Two Pass (IT),individuating,Individuation,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.236111,0.236111,0.276515,0.040404,0.23611111,abs_pro_anti_gap,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating_self_debias_two_pass_individuating,individuating,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating/winobias/winobias/m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating_self_debias_two_pass_individuating/winobias_metrics_overall_m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating_self_debias_two_pass_individuating.csv
DIY Two Pass (IT),individuating,Individuation,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.225,0.225,0.191667,-0.033333,21.66666667,mean_abs_occupation_gender_bias_score,lower,m6_self_debiasing,m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating_self_debias_two_pass_individuating,individuating,results/new_results_curated/m6_self_debiasing/incorrect/m6sd_20260323_091321_twopass_zero_fix/eval/m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating/winogender/winogender/m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating_self_debias_two_pass_individuating/winogender_metrics_overall_m6_two_pass__finetuned_ms-500-individuating-opinion-action-event-allversions__individuating_self_debias_two_pass_individuating.csv
ICL,perspective_taking,Perspective-taking,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,61.21,11.21,15.19,3.98,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_pt,perspective_taking,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama8b_pt_crowspairs.csv
ICL,perspective_taking,Perspective-taking,stereoset,StereoSet,SS Score,SS Score overall,50,57.0172,7.01719,8.29053,1.27334,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_pt,perspective_taking,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/stereoset_metrics_m4_baseicl_zero_llama8b_pt_stereoset.csv
ICL,perspective_taking,Perspective-taking,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,5.017,5.017,7.39,2.373,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_pt,perspective_taking,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_pt_bbq.csv
ICL,perspective_taking,Perspective-taking,bbq,BBQ Disambig.,Bias_score_disambig,Bias score disambig.,0,0.856,0.856,3.047,2.191,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_pt,perspective_taking,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_pt_bbq.csv
ICL,perspective_taking,Perspective-taking,winobias,WinoBias,abs_pro_anti_gap,Abs. pro/anti gap,0,0.277778,0.277778,0.276515,-0.001263,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_pt,perspective_taking,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/winobias/m4_baseicl_zero_llama8b_pt_winobias/winobias_metrics_overall_m4_baseicl_zero_llama8b_pt_winobias.csv
ICL,perspective_taking,Perspective-taking,winogender,WinoGender,male_female_pair_disagreement_rate,Male/female pair disagreement,0,0.179167,0.179167,0.191667,0.0125,,,lower,m4_base_icl_zero,m4_baseicl_zero_llama8b_pt,perspective_taking,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/winogender/m4_baseicl_zero_llama8b_pt_winogender/winogender_metrics_overall_m4_baseicl_zero_llama8b_pt_winogender.csv
DIY IT,perspective_taking,Perspective-taking,crowspairs,CrowS-Pairs,stereotype_preference_pct,Stereotype preference %,50,64.39,14.39,15.19,0.8,64.39,metric_score,target50,m3_finetune_llama_ms500,m3_finetune_pt,perspective_taking,results/new_results/m3_finetune_llama_ms500/evalshared/crows_pairs_metrics_overall_m3_finetune_pt.csv
DIY IT,perspective_taking,Perspective-taking,stereoset,StereoSet,SS Score,SS Score overall,50,57.0913,7.09132,8.29053,1.19921,68.83312107,ICAT Score,higher,m3_finetune_llama_ms500,m3_finetune_pt,perspective_taking,results/new_results/m3_finetune_llama_ms500/evalshared/stereoset_metrics_m3_finetune_pt.csv
DIY IT,perspective_taking,Perspective-taking,bbq,BBQ Ambig.,Bias_score_ambig,Bias score ambig.,0,4.684,4.684,7.39,2.706,0.736,mean_abs_bias_disambig,lower,m3_finetune_llama_ms500,m3_finetune_pt:m3_finetune_pt_instr_off_ALL,perspective_taking,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_pt.csv
