figure_slug,strategy_key,strategy_label,ft_checkpoint,dataset_key,panel_label,method,method_family,shot,bias_error,bias_reduction_vs_base,source_model,metric_source_file
all_strategies_opinion,all_strategies,All interventions,opinion,crowspairs,CrowS-Pairs,"DIY Two Pass (IT), 1-shot",Two Pass (IT),1,1.46,13.73,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_opinion,all_strategies,All interventions,opinion,crowspairs,CrowS-Pairs,"DIY Two Pass (IT), 2-shot",Two Pass (IT),2,1.72,13.469999999999999,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_crows_stereoset_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_opinion,all_strategies,All interventions,opinion,stereoset,StereoSet,DIY IT,DIY IT,,7.26669,1.0238400000000007,m3_finetune_allstrat_opinion_stereoset,results/new_results/m3_finetune_llama_ms500/evalshared/stereoset_metrics_m3_finetune_allstrat_opinion_stereoset.csv
all_strategies_opinion,all_strategies,All interventions,opinion,stereoset,StereoSet,"DIY Two Pass (IT), 0-shot",Two Pass (IT),0,4.90898,3.3815500000000007,m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies/stereoset/stereoset_metrics_m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_opinion,all_strategies,All interventions,opinion,stereoset,StereoSet,"DIY Two Pass (IT), 1-shot",Two Pass (IT),1,4.12844,4.16209,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies/stereoset/stereoset_metrics_m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_opinion,all_strategies,All interventions,opinion,stereoset,StereoSet,"DIY Two Pass (IT), 2-shot",Two Pass (IT),2,4.23615,4.05438,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_crows_stereoset_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies/stereoset/stereoset_metrics_m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_opinion,all_strategies,All interventions,opinion,bbq,BBQ Ambig.,DIY IT,DIY IT,,4.298,3.0919999999999996,m3_finetune_allstrat_opinion_bbq:m3_finetune_allstrat_opinion_bbq_instr_off_ALL,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_allstrat_opinion_bbq.csv
all_strategies_opinion,all_strategies,All interventions,opinion,bbq,BBQ Ambig.,"DIY Two Pass (IT), 0-shot",Two Pass (IT),0,0.0,7.39,m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies/bbq
all_strategies_opinion,all_strategies,All interventions,opinion,bbq,BBQ Ambig.,"DIY Two Pass (IT), 1-shot",Two Pass (IT),1,3.677,3.7129999999999996,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_one/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies/bbq
all_strategies_opinion,all_strategies,All interventions,opinion,bbq,BBQ Ambig.,"DIY Two Pass (IT), 2-shot",Two Pass (IT),2,4.625,2.7649999999999997,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies,results/new_results/m6_self_debiasing/m6sd_20260330_twoshot_bbq_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies/bbq/bbq_metrics.csv
all_strategies_opinion,all_strategies,All interventions,opinion,bbq,BBQ Disambig.,DIY IT,DIY IT,,0.677,2.37,m3_finetune_allstrat_opinion_bbq:m3_finetune_allstrat_opinion_bbq_instr_off_ALL,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_allstrat_opinion_bbq.csv
all_strategies_opinion,all_strategies,All interventions,opinion,bbq,BBQ Disambig.,"DIY Two Pass (IT), 0-shot",Two Pass (IT),0,0.0,3.047,m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies/bbq
all_strategies_opinion,all_strategies,All interventions,opinion,bbq,BBQ Disambig.,"DIY Two Pass (IT), 1-shot",Two Pass (IT),1,0.419,2.628,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies,recomputed_from_predictions:archive/m6_llama8b_dedup_apply_20260504_000252/outputs/new_outputs/m6_self_debiasing/m6sd_20260325_bbq_allstrategies_maxlenfix_one/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies/bbq
all_strategies_opinion,all_strategies,All interventions,opinion,bbq,BBQ Disambig.,"DIY Two Pass (IT), 2-shot",Two Pass (IT),2,1.386,1.6610000000000003,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies,results/new_results/m6_self_debiasing/m6sd_20260330_twoshot_bbq_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies/bbq/bbq_metrics.csv
all_strategies_opinion,all_strategies,All interventions,opinion,winobias,WinoBias,DIY IT,DIY IT,,0.262626,0.013888999999999985,m3_finetune_allstrat_opinion_winobias,results/new_results/m3_finetune_llama_ms500/evalshared/winobias/m3_finetune_allstrat_opinion_winobias/winobias_metrics_overall_m3_finetune_allstrat_opinion_winobias.csv
all_strategies_opinion,all_strategies,All interventions,opinion,winobias,WinoBias,"DIY Two Pass (IT), 0-shot",Two Pass (IT),0,0.0972222,0.17929280000000003,m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies/winobias/winobias/m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_opinion,all_strategies,All interventions,opinion,winobias,WinoBias,"DIY Two Pass (IT), 1-shot",Two Pass (IT),1,0.0732323,0.2032827,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies/winobias/winobias/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_opinion,all_strategies,All interventions,opinion,winobias,WinoBias,"DIY Two Pass (IT), 2-shot",Two Pass (IT),2,0.084596,0.191919,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_wino_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies/winobias/winobias/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_opinion,all_strategies,All interventions,opinion,winogender,WinoGender,DIY IT,DIY IT,,0.2125,-0.02083299999999999,m3_finetune_allstrat_opinion_winogender,results/new_results/m3_finetune_llama_ms500/evalshared/winogender/m3_finetune_allstrat_opinion_winogender/winogender_metrics_overall_m3_finetune_allstrat_opinion_winogender.csv
all_strategies_opinion,all_strategies,All interventions,opinion,winogender,WinoGender,"DIY Two Pass (IT), 0-shot",Two Pass (IT),0,0.120833,0.07083400000000001,m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies/winogender/winogender/m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies/winogender_metrics_overall_m6_two_pass__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_opinion,all_strategies,All interventions,opinion,winogender,WinoGender,"DIY Two Pass (IT), 1-shot",Two Pass (IT),1,0.120833,0.07083400000000001,m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies/winogender/winogender/m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies/winogender_metrics_overall_m6_two_pass_one__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_opinion,all_strategies,All interventions,opinion,winogender,WinoGender,"DIY Two Pass (IT), 2-shot",Two Pass (IT),2,0.141667,0.05000000000000002,m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_wino_allstrategies_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies/winogender/winogender/m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies/winogender_metrics_overall_m6_two_pass_two__finetuned_ms-500-allstrategies-opinion__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_action,all_strategies,All interventions,action,crowspairs,CrowS-Pairs,DIY IT,DIY IT,,14.52,0.6699999999999999,m3_finetune_allstrat_action_crowspairs,results/new_results/m3_finetune_llama_ms500/evalshared/crows_pairs_metrics_overall_m3_finetune_allstrat_action_crowspairs.csv
all_strategies_action,all_strategies,All interventions,action,crowspairs,CrowS-Pairs,"DIY Two Pass (IT), 0-shot",Two Pass (IT),0,3.05,12.14,m6_two_pass__finetuned_ms-500-allstrategies-action__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-action__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass__finetuned_ms-500-allstrategies-action__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_action,all_strategies,All interventions,action,crowspairs,CrowS-Pairs,"DIY Two Pass (IT), 1-shot",Two Pass (IT),1,2.98,12.209999999999999,m6_two_pass_one__finetuned_ms-500-allstrategies-action__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_one_allstrategies_truncfix/eval/m6_two_pass_one__finetuned_ms-500-allstrategies-action__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass_one__finetuned_ms-500-allstrategies-action__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_action,all_strategies,All interventions,action,crowspairs,CrowS-Pairs,"DIY Two Pass (IT), 2-shot",Two Pass (IT),2,4.71,10.48,m6_two_pass_two__finetuned_ms-500-allstrategies-action__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260326_twoshot_crows_stereoset_fix/eval/m6_two_pass_two__finetuned_ms-500-allstrategies-action__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass_two__finetuned_ms-500-allstrategies-action__all_strategies_self_debias_two_pass_all_strategies.csv
all_strategies_action,all_strategies,All interventions,action,stereoset,StereoSet,DIY IT,DIY IT,,7.03509,1.2554400000000001,m3_finetune_allstrat_action_stereoset,results/new_results/m3_finetune_llama_ms500/evalshared/stereoset_metrics_m3_finetune_allstrat_action_stereoset.csv
all_strategies_action,all_strategies,All interventions,action,stereoset,StereoSet,"DIY Two Pass (IT), 0-shot",Two Pass (IT),0,5.42324,2.8672900000000006,m6_two_pass__finetuned_ms-500-allstrategies-action__all_strategies_self_debias_two_pass_all_strategies,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-action__all_strategies/stereoset/stereoset_metrics_m6_two_pass__finetuned_ms-500-allstrategies-action__all_strategies_self_debias_two_pass_all_strategies.csv
