model_key,model,figure,dataset_key,panel_label,method_key,method_label,metric,point,ci_low,ci_high,n_units,n_bootstrap,metric_source_file,row_files,status,reason,group,ideal_value,metric_label,native_value,normalized_bias_error_plotted,point_recomputed
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,debias_nlg,DebiasNLG,stereotype_preference_pct,44.3,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/debias_nlg/crowspairs/crowspairs_metrics_overall_llama_70b_debias_nlg.csv,,missing,row_file_not_found,baseline,50,Stereotype preference %,5.7,44.3,
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,reduce_social_bias,RSB,stereotype_preference_pct,17.44,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/reduce_social_bias/crowspairs/crowspairs_metrics_overall_llama_70b_reduce_social_bias.csv,,missing,row_file_not_found,baseline,50,Stereotype preference %,67.44,17.44,
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,selfdebias_reprompting,SelfDebias,stereotype_preference_pct,2.79,0.4313205043132058,5.280358327803582,1507,200,results/11_baselines_llama70b/llama70b_missing_baselines_20260415_075622/self_debiasing/crowspairs/crows_pairs_metrics_overall_llama_70b_selfdebiasing_reprompting.csv,outputs/11_baselines_llama70b/llama70b_missing_baselines_20260415_075622/self_debiasing/crowspairs/crows_pairs_scored_llama_70b_selfdebiasing_reprompting.csv,ok,,baseline,50,Stereotype preference %,47.21,2.79,2.7538155275381584
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,diy_it,DIY IT,stereotype_preference_pct,17.04,15.066666666666663,19.53333333333333,1500,200,results/new_results/m3_finetune_llama70b_ms500/evalshared/crows_pairs_metrics_overall_m3_llama70b_ms500_all_allversions_crowspairs.csv,outputs/new_outputs/m3_finetune_llama70b_ms500/evalshared/crows_pairs_scored_m3_llama70b_ms500_all_allversions_crowspairs.csv,ok,,diy_tune,50,Stereotype preference %,67.04,17.04,17.400000000000006
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,diy_twopass_no_it,DIY Two Pass (No IT),stereotype_preference_pct,1.79,0.1314913448734972,4.19440745672437,1502,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__base_all_strategies__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_l70b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__base_all_strategies__all_strategies/crowspairs/crows_pairs_scored_m6_l70b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,ok,,diy_twopass,50,Stereotype preference %,48.21,1.79,1.5978695073235656
llama70b,Llama 70B,baseline_comparison_lollipop,crowspairs,CrowS-Pairs,diy_twopass_it,DIY Two Pass (IT),stereotype_preference_pct,2.72,0.46562082777035807,4.808077436582111,1498,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__all_allversions__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_l70b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__all_allversions__all_strategies/crowspairs/crows_pairs_scored_m6_l70b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,ok,,diy_combo,50,Stereotype preference %,47.28,2.72,2.403204272363155
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,base,Base Model,SS Score,9.9997996,8.523291558288017,11.674154646488525,4229,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/stereoset_metrics_llama70b_plain_base_stereoset.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/stereoset_sentence_scores_llama70b_plain_base_stereoset.csv,ok,,base,50,SS Score overall,59.9998,9.9997996,9.943248995034281
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,icl,ICL,SS Score,3.7589086,2.278907543154405,5.335185623078743,4229,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/stereoset_metrics_m4_baseicl_zero_llama70b_allstrat_stereoset.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/stereoset_sentence_scores_m4_baseicl_zero_llama70b_allstrat_stereoset.csv,ok,,icl,50,SS Score overall,53.758909,3.7589086,3.795223457082052
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,bba,BBA,SS Score,12.249451,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/bba/stereoset/stereoset_eval_llama_70b_bba.csv,,missing,row_file_not_found,baseline,50,SS Score overall,62.249451,12.249451,
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,cal,CAL,SS Score,12.969317,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/cal/stereoset/stereoset_eval_llama_70b_cal.csv,,missing,row_file_not_found,baseline,50,SS Score overall,62.969317,12.969317,
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,fairsteer,FairSteer,SS Score,12.791117,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/fairsteer/stereoset/stereoset_eval_llama_70b_fairsteer.csv,,missing,row_file_not_found,baseline,50,SS Score overall,62.791117,12.791117,
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,biasedit,BiasEdit,SS Score,50.0,,,,200,results/11_baselines_llama70b/baseline_additions_20260513_20260513_133647/biasedit/stereoset/stereoset_eval_llama_70b_biasedit.csv,,missing,row_file_not_found,baseline,50,SS Score overall,0,50,
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,lftf,LFTF,SS Score,12.058831,,,,200,results/11_baselines_llama70b/l70b_retry_lftf_peft_20260414_095445/lftf/stereoset/stereoset_eval_llama_70b_lftf.csv,,missing,row_file_not_found,baseline,50,SS Score overall,62.058831,12.058831,
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,dpo,DPO,SS Score,12.7895,,,,200,results/11_baselines_llama70b/completion_missing_20260513_fix1_20260513_112050/dpo/stereoset/stereoset_eval_llama_70b_dpo.csv,,missing,row_file_not_found,baseline,50,SS Score overall,62.7895,12.7895,
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,peft,PEFT,SS Score,0.23830266,,,,200,results/11_baselines_llama70b/llama70b_baselines_retry_contrib_20260415_080908/peft/stereoset/stereoset_eval_llama_70b_peft.csv,,missing,row_file_not_found,baseline,50,SS Score overall,50.238303,0.23830266,
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,debias_llms,DebiasLLMs,SS Score,0.42222041,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/debias_llms/stereoset/stereoset_eval_llama_70b_debias_llms.csv,,missing,row_file_not_found,baseline,50,SS Score overall,50.42222,0.42222041,
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,debias_nlg,DebiasNLG,SS Score,38.73788,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/debias_nlg/stereoset/stereoset_eval_llama_70b_debias_nlg.csv,,missing,row_file_not_found,baseline,50,SS Score overall,11.26212,38.73788,
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,reduce_social_bias,RSB,SS Score,12.63316,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/reduce_social_bias/stereoset/stereoset_eval_llama_70b_reduce_social_bias.csv,,missing,row_file_not_found,baseline,50,SS Score overall,62.63316,12.63316,
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,selfdebias_reprompting,SelfDebias,SS Score,4.1438003,2.7252305509576713,5.498935918656896,4229,200,results/11_baselines_llama70b/llama70b_missing_baselines_20260415_075622/self_debiasing/stereoset/stereoset_metrics_llama_70b_selfdebiasing_reprompting.csv,outputs/11_baselines_llama70b/llama70b_missing_baselines_20260415_075622/self_debiasing/stereoset/stereoset_sentence_scores_llama_70b_selfdebiasing_reprompting.csv,ok,,baseline,50,SS Score overall,45.8562,4.1438003,4.2208559943249
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,diy_it,DIY IT,SS Score,10.657,9.089619295341695,12.121068810593524,4229,200,results/new_results/m3_finetune_llama70b_ms500/evalshared/stereoset_metrics_m3_llama70b_ms500_all_allversions_stereoset.csv,outputs/new_outputs/m3_finetune_llama70b_ms500/evalshared/stereoset_sentence_scores_m3_llama70b_ms500_all_allversions_stereoset.csv,ok,,diy_tune,50,SS Score overall,60.657,10.657,10.628990305036659
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,diy_twopass_no_it,DIY Two Pass (No IT),SS Score,3.1866908,2.16244975171435,4.646488531567741,4229,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__base_all_strategies__all_strategies/stereoset/stereoset_metrics_m6_l70b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__base_all_strategies__all_strategies/stereoset/stereoset_sentence_scores_m6_l70b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,ok,,diy_twopass,50,SS Score overall,46.813309,3.1866908,3.3695909198392044
llama70b,Llama 70B,baseline_comparison_lollipop,stereoset,StereoSet,diy_twopass_it,DIY Two Pass (IT),SS Score,4.2847381,2.989477417829277,5.900922203830694,4229,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__all_allversions__all_strategies/stereoset/stereoset_metrics_m6_l70b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__all_allversions__all_strategies/stereoset/stereoset_sentence_scores_m6_l70b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,ok,,diy_combo,50,SS Score overall,45.715262,4.2847381,4.410026010877274
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,base,Base Model,Bias_score_ambig,7.046,6.128326150899519,8.014912100690877,29238,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/bbq/bbq_metrics_llama70b_plain_base_bbq.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/bbq/llama70b_plain_base_bbq/bbq_preds_llama70b_plain_base_bbq_instr_off_ALL.csv,ok,,base,0,Bias score ambig.,7.046,7.046,7.045625555783576
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,icl,ICL,Bias_score_ambig,5.206,4.830956289759907,6.447003899035499,29238,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/bbq/bbq_metrics_m4_baseicl_zero_llama70b_allstrat_bbq.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/bbq/m4_baseicl_zero_llama70b_allstrat_bbq/bbq_preds_m4_baseicl_zero_llama70b_allstrat_bbq_instr_all_strategies_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/bbq/m4_baseicl_zero_llama70b_ci_bbq/bbq_preds_m4_baseicl_zero_llama70b_ci_bbq_instr_counter_imaging_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/bbq/m4_baseicl_zero_llama70b_ind_bbq/bbq_preds_m4_baseicl_zero_llama70b_ind_bbq_instr_individuating_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/bbq/m4_baseicl_zero_llama70b_pc_bbq/bbq_preds_m4_baseicl_zero_llama70b_pc_bbq_instr_positive_contact_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/bbq/m4_baseicl_zero_llama70b_pt_bbq/bbq_preds_m4_baseicl_zero_llama70b_pt_bbq_instr_perspective_taking_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/bbq/m4_baseicl_zero_llama70b_sr_bbq/bbq_preds_m4_baseicl_zero_llama70b_sr_bbq_instr_stereotype_replacement_ALL.csv,ok,,icl,0,Bias score ambig.,5.206,5.206,5.65360147752924
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,bba,BBA,Bias_score_ambig,11.934,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/bba/bbq/bbq_eval_llama_70b_bba.csv,outputs/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/bba/bbq/bbq_preds_llama_70b_bba.csv,missing,no_metric_units,baseline,0,Bias score ambig.,11.934,11.934,
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,cal,CAL,Bias_score_ambig,2.213,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/cal/bbq/bbq_eval_llama_70b_cal.csv,outputs/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/cal/bbq/bbq_preds_llama_70b_cal.csv,missing,no_metric_units,baseline,0,Bias score ambig.,2.213,2.213,
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,fairsteer,FairSteer,Bias_score_ambig,11.543889,,,,200,mean_abs_category:results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/fairsteer/bbq/bbq_eval_llama_70b_fairsteer.csv,,missing,row_file_not_found,baseline,0,Bias score ambig.,11.543889,11.543889,
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,biasedit,BiasEdit,Bias_score_ambig,0.0,,,,200,results/11_baselines_llama70b/baseline_additions_20260513_20260513_133647/biasedit/bbq/bbq_eval_llama_70b_biasedit_all.csv,outputs/11_baselines_llama70b/baseline_additions_20260513_20260513_133647/biasedit/bbq/bbq_preds_llama_70b_biasedit_all.csv,missing,no_metric_units,baseline,0,Bias score ambig.,0,0,
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,lftf,LFTF,Bias_score_ambig,24.398222,,,,200,mean_abs_category:results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/lftf/bbq/bbq_eval_llama_70b_lftf.csv,,missing,row_file_not_found,baseline,0,Bias score ambig.,24.398222,24.398222,
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,dpo,DPO,Bias_score_ambig,6.9422222,,,,200,mean_abs_category:results/11_baselines_llama70b/llama70b_missing_baselines_20260415_075622/dpo/bbq/bbq_eval_llama_70b_dpo.csv,,missing,row_file_not_found,baseline,0,Bias score ambig.,6.9422222,6.9422222,
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,peft,PEFT,Bias_score_ambig,3.935,12.338235390082923,12.950664472782641,15678,200,results/11_baselines_llama70b/completion_missing_20260513_fix1_20260513_112050/peft/bbq/bbq_eval_llama_70b_peft.csv,outputs/11_baselines_llama70b/completion_missing_20260513_fix1_20260513_112050/peft/bbq/bbq_preds_llama_70b_peft.csv,ok,,baseline,0,Bias score ambig.,3.935,3.935,12.641694038955725
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,debias_llms,DebiasLLMs,Bias_score_ambig,0.0,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/debias_llms/bbq/bbq_eval_llama_70b_debias_llms.csv,outputs/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/debias_llms/bbq/bbq_preds_llama_70b_debias_llms.csv,missing,no_metric_units,baseline,0,Bias score ambig.,0,0,
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,debias_nlg,DebiasNLG,Bias_score_ambig,10.977,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/debias_nlg/bbq/bbq_eval_llama_70b_debias_nlg.csv,outputs/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/debias_nlg/bbq/bbq_preds_llama_70b_debias_nlg.csv,missing,no_metric_units,baseline,0,Bias score ambig.,10.977,10.977,
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,reduce_social_bias,RSB,Bias_score_ambig,10.078,,,,200,results/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/reduce_social_bias/bbq/bbq_eval_llama_70b_reduce_social_bias.csv,outputs/11_baselines_llama70b/baselines_llama70b_sep_20260414_001337/reduce_social_bias/bbq/bbq_preds_llama_70b_reduce_social_bias.csv,missing,no_metric_units,baseline,0,Bias score ambig.,10.078,10.078,
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,selfdebias_reprompting,SelfDebias,Bias_score_ambig,2.6973636,,,,200,mean_abs_category:results/11_baselines_llama70b/baseline_additions_20260513_20260513_133647/selfdebias_reprompting/bbq/bbq_eval_llama_70b_selfdebiasing_all.csv,,missing,row_file_not_found,baseline,0,Bias score ambig.,2.6973636,2.6973636,
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,diy_it,DIY IT,Bias_score_ambig,6.615,6.059408988302894,8.102554894315615,29238,200,results/new_results/m3_finetune_llama70b_ms500/bbq/bbq_metrics_m3_llama70b_ms500_all_allversions_bbq.csv,outputs/new_outputs/m3_finetune_llama70b_ms500/bbq/m3_llama70b_ms500_all_action_bbq/bbq_preds_m3_llama70b_ms500_all_action_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama70b_ms500/bbq/m3_llama70b_ms500_all_allversions_bbq/bbq_preds_m3_llama70b_ms500_all_allversions_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama70b_ms500/bbq/m3_llama70b_ms500_all_event_bbq/bbq_preds_m3_llama70b_ms500_all_event_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama70b_ms500/bbq/m3_llama70b_ms500_all_opinion_bbq/bbq_preds_m3_llama70b_ms500_all_opinion_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama70b_ms500/bbq/m3_llama70b_ms500_ci_bbq/bbq_preds_m3_llama70b_ms500_ci_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama70b_ms500/bbq/m3_llama70b_ms500_ind_bbq/bbq_preds_m3_llama70b_ms500_ind_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama70b_ms500/bbq/m3_llama70b_ms500_pc_bbq/bbq_preds_m3_llama70b_ms500_pc_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama70b_ms500/bbq/m3_llama70b_ms500_pt_bbq/bbq_preds_m3_llama70b_ms500_pt_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama70b_ms500/bbq/m3_llama70b_ms500_sr_bbq/bbq_preds_m3_llama70b_ms500_sr_bbq_instr_off_ALL.csv,ok,,diy_tune,0,Bias score ambig.,6.615,6.615,7.1037690676516805
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,diy_twopass_no_it,DIY Two Pass (No IT),Bias_score_ambig,4.935,3.6815958683904424,5.890023257404756,29238,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__base_all_strategies__all_strategies/bbq/bbq_metrics.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__base_all_strategies__all_strategies/bbq/bbq_preds_m6_l70b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies_bbq_firstpass_base_llama70b_instr_off_ALL.csv,ok,,diy_twopass,0,Bias score ambig.,4.935,4.935,4.935358095628976
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Ambig.,diy_twopass_it,DIY Two Pass (IT),Bias_score_ambig,7.152,6.207076407415012,8.19507148231753,29238,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__all_allversions__all_strategies/bbq/bbq_metrics.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__all_allversions__all_strategies/bbq/bbq_preds_m6_l70b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies_bbq_firstpass_base_llama70b_instr_off_ALL.csv,ok,,diy_combo,0,Bias score ambig.,7.152,7.152,7.1516519597783645
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Disambig.,base,Base Model,Bias_score_disambig,0.388,0.04532148670020136,1.5617428857705642,29238,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/bbq/bbq_metrics_llama70b_plain_base_bbq.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/bbq/llama70b_plain_base_bbq/bbq_preds_llama70b_plain_base_bbq_instr_off_ALL.csv,ok,,base,0,Bias score disambig.,0.388,0.388,0.38753298153033633
llama70b,Llama 70B,baseline_comparison_lollipop,bbq,BBQ Disambig.,icl,ICL,Bias_score_disambig,0.716,0.0476726857651022,1.9795942721152793,29238,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/bbq/bbq_metrics_m4_baseicl_zero_llama70b_allstrat_bbq.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/bbq/m4_baseicl_zero_llama70b_allstrat_bbq/bbq_preds_m4_baseicl_zero_llama70b_allstrat_bbq_instr_all_strategies_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/bbq/m4_baseicl_zero_llama70b_ci_bbq/bbq_preds_m4_baseicl_zero_llama70b_ci_bbq_instr_counter_imaging_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/bbq/m4_baseicl_zero_llama70b_ind_bbq/bbq_preds_m4_baseicl_zero_llama70b_ind_bbq_instr_individuating_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/bbq/m4_baseicl_zero_llama70b_pc_bbq/bbq_preds_m4_baseicl_zero_llama70b_pc_bbq_instr_positive_contact_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/bbq/m4_baseicl_zero_llama70b_pt_bbq/bbq_preds_m4_baseicl_zero_llama70b_pt_bbq_instr_perspective_taking_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/bbq/m4_baseicl_zero_llama70b_sr_bbq/bbq_preds_m4_baseicl_zero_llama70b_sr_bbq_instr_stereotype_replacement_ALL.csv,ok,,icl,0,Bias score disambig.,0.716,0.716,0.7607041947402804
