dataset_key,benchmark_label,method_key,method_label,setting,shot,strategy_setting,it_checkpoint,metric,accuracy,accuracy_percent_plotted,source_file
arc_easy,ARC-Easy,it_0,IT 0,IT,0,All interventions,opinion,accuracy,0.93981481,93.981481,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_opinion__all_strategies/arc_easy/arc_easy_metrics_overall.csv
arc_easy,ARC-Easy,it_1,IT 1,IT,1,All interventions,opinion,accuracy,0.93476431,93.476431,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_one__all_opinion__all_strategies/arc_easy/arc_easy_metrics_overall.csv
balanced_copa,Balanced COPA,base,Base,Base,,All interventions,opinion,accuracy,0.892,89.2,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/reasoning_first_pass/balanced_copa/qwen35_firstpass_base_qwen35_27b_balanced_copa/balanced_copa_metrics_overall_qwen35_firstpass_base_qwen35_27b_balanced_copa.csv
balanced_copa,Balanced COPA,icl,ICL,ICL,0,All interventions,opinion,accuracy,0.852,85.2,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/qwen35_27b/reasoning/balanced_copa/m4_baseicl_zero_qwen35_27b_allstrat_balanced_copa/balanced_copa_metrics_overall_m4_baseicl_zero_qwen35_27b_allstrat_balanced_copa.csv
balanced_copa,Balanced COPA,it,DIY IT,DIY IT,,All interventions,opinion,accuracy,0.927,92.7,results/new_results/m3_finetune_qwen35_27b_ms500/reasoning/balanced_copa/m3_qwen35_27b_ms500_all_opinion_balanced_copa/balanced_copa_metrics_overall_m3_qwen35_27b_ms500_all_opinion_balanced_copa.csv
balanced_copa,Balanced COPA,no_it_0,No IT 0,No IT,0,All interventions,opinion,accuracy,0.902,90.2,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/balanced_copa/balanced_copa_metrics_overall.csv
balanced_copa,Balanced COPA,no_it_1,No IT 1,No IT,1,All interventions,opinion,accuracy,0.9,90,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_one__base_all_strategies__all_strategies/balanced_copa/balanced_copa_metrics_overall.csv
balanced_copa,Balanced COPA,it_0,IT 0,IT,0,All interventions,opinion,accuracy,0.92,92,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_opinion__all_strategies/balanced_copa/balanced_copa_metrics_overall.csv
balanced_copa,Balanced COPA,it_1,IT 1,IT,1,All interventions,opinion,accuracy,0.92,92,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_one__all_opinion__all_strategies/balanced_copa/balanced_copa_metrics_overall.csv
arc_challenge,ARC-Challenge,base,Base,Base,,All interventions,action,accuracy,0.84129693,84.129693,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/reasoning_first_pass/arc_challenge/qwen35_firstpass_base_qwen35_27b_arc_challenge/arc_challenge_metrics_overall_qwen35_firstpass_base_qwen35_27b_arc_challenge.csv
arc_challenge,ARC-Challenge,icl,ICL,ICL,0,All interventions,action,accuracy,0.90784983,90.784983,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/qwen35_27b/reasoning/arc_challenge/m4_baseicl_zero_qwen35_27b_allstrat_arc_challenge/arc_challenge_metrics_overall_m4_baseicl_zero_qwen35_27b_allstrat_arc_challenge.csv
arc_challenge,ARC-Challenge,it,DIY IT,DIY IT,,All interventions,action,accuracy,0.90273038,90.273038,results/new_results/m3_finetune_qwen35_27b_ms500/reasoning/arc_challenge/m3_qwen35_27b_ms500_all_action_arc_challenge/arc_challenge_metrics_overall_m3_qwen35_27b_ms500_all_action_arc_challenge.csv
arc_challenge,ARC-Challenge,no_it_0,No IT 0,No IT,0,All interventions,action,accuracy,0.83532423,83.532423,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
arc_challenge,ARC-Challenge,no_it_1,No IT 1,No IT,1,All interventions,action,accuracy,0.84641638,84.641638,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_one__base_all_strategies__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
arc_challenge,ARC-Challenge,it_0,IT 0,IT,0,All interventions,action,accuracy,0.94795222,94.795222,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_action__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
arc_challenge,ARC-Challenge,it_1,IT 1,IT,1,All interventions,action,accuracy,0.94880546,94.880546,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_one__all_action__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
arc_easy,ARC-Easy,base,Base,Base,,All interventions,action,accuracy,0.88468013,88.468013,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/reasoning_first_pass/arc_easy/qwen35_firstpass_base_qwen35_27b_arc_easy/arc_easy_metrics_overall_qwen35_firstpass_base_qwen35_27b_arc_easy.csv
arc_easy,ARC-Easy,icl,ICL,ICL,0,All interventions,action,accuracy,0.95244108,95.244108,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/qwen35_27b/reasoning/arc_easy/m4_baseicl_zero_qwen35_27b_allstrat_arc_easy/arc_easy_metrics_overall_m4_baseicl_zero_qwen35_27b_allstrat_arc_easy.csv
arc_easy,ARC-Easy,it,DIY IT,DIY IT,,All interventions,action,accuracy,0.93055556,93.055556,results/new_results/m3_finetune_qwen35_27b_ms500/reasoning/arc_easy/m3_qwen35_27b_ms500_all_action_arc_easy/arc_easy_metrics_overall_m3_qwen35_27b_ms500_all_action_arc_easy.csv
arc_easy,ARC-Easy,no_it_0,No IT 0,No IT,0,All interventions,action,accuracy,0.89309764,89.309764,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/arc_easy/arc_easy_metrics_overall.csv
arc_easy,ARC-Easy,no_it_1,No IT 1,No IT,1,All interventions,action,accuracy,0.90572391,90.572391,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_one__base_all_strategies__all_strategies/arc_easy/arc_easy_metrics_overall.csv
arc_easy,ARC-Easy,it_0,IT 0,IT,0,All interventions,action,accuracy,0.97979798,97.979798,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_action__all_strategies/arc_easy/arc_easy_metrics_overall.csv
arc_easy,ARC-Easy,it_1,IT 1,IT,1,All interventions,action,accuracy,0.97979798,97.979798,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_one__all_action__all_strategies/arc_easy/arc_easy_metrics_overall.csv
balanced_copa,Balanced COPA,base,Base,Base,,All interventions,action,accuracy,0.892,89.2,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/reasoning_first_pass/balanced_copa/qwen35_firstpass_base_qwen35_27b_balanced_copa/balanced_copa_metrics_overall_qwen35_firstpass_base_qwen35_27b_balanced_copa.csv
balanced_copa,Balanced COPA,icl,ICL,ICL,0,All interventions,action,accuracy,0.852,85.2,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/qwen35_27b/reasoning/balanced_copa/m4_baseicl_zero_qwen35_27b_allstrat_balanced_copa/balanced_copa_metrics_overall_m4_baseicl_zero_qwen35_27b_allstrat_balanced_copa.csv
balanced_copa,Balanced COPA,it,DIY IT,DIY IT,,All interventions,action,accuracy,0.92,92,results/new_results/m3_finetune_qwen35_27b_ms500/reasoning/balanced_copa/m3_qwen35_27b_ms500_all_action_balanced_copa/balanced_copa_metrics_overall_m3_qwen35_27b_ms500_all_action_balanced_copa.csv
balanced_copa,Balanced COPA,no_it_0,No IT 0,No IT,0,All interventions,action,accuracy,0.902,90.2,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/balanced_copa/balanced_copa_metrics_overall.csv
balanced_copa,Balanced COPA,no_it_1,No IT 1,No IT,1,All interventions,action,accuracy,0.9,90,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_one__base_all_strategies__all_strategies/balanced_copa/balanced_copa_metrics_overall.csv
balanced_copa,Balanced COPA,it_0,IT 0,IT,0,All interventions,action,accuracy,0.92,92,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_action__all_strategies/balanced_copa/balanced_copa_metrics_overall.csv
balanced_copa,Balanced COPA,it_1,IT 1,IT,1,All interventions,action,accuracy,0.91,91,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_one__all_action__all_strategies/balanced_copa/balanced_copa_metrics_overall.csv
arc_challenge,ARC-Challenge,base,Base,Base,,All interventions,event,accuracy,0.84129693,84.129693,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/reasoning_first_pass/arc_challenge/qwen35_firstpass_base_qwen35_27b_arc_challenge/arc_challenge_metrics_overall_qwen35_firstpass_base_qwen35_27b_arc_challenge.csv
arc_challenge,ARC-Challenge,icl,ICL,ICL,0,All interventions,event,accuracy,0.90784983,90.784983,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/qwen35_27b/reasoning/arc_challenge/m4_baseicl_zero_qwen35_27b_allstrat_arc_challenge/arc_challenge_metrics_overall_m4_baseicl_zero_qwen35_27b_allstrat_arc_challenge.csv
arc_challenge,ARC-Challenge,it,DIY IT,DIY IT,,All interventions,event,accuracy,0.90187713,90.187713,results/new_results/m3_finetune_qwen35_27b_ms500/reasoning/arc_challenge/m3_qwen35_27b_ms500_all_event_arc_challenge/arc_challenge_metrics_overall_m3_qwen35_27b_ms500_all_event_arc_challenge.csv
arc_challenge,ARC-Challenge,no_it_0,No IT 0,No IT,0,All interventions,event,accuracy,0.83532423,83.532423,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
arc_challenge,ARC-Challenge,no_it_1,No IT 1,No IT,1,All interventions,event,accuracy,0.84641638,84.641638,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_one__base_all_strategies__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
arc_challenge,ARC-Challenge,it_0,IT 0,IT,0,All interventions,event,accuracy,0.91296928,91.296928,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_event__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
arc_challenge,ARC-Challenge,it_1,IT 1,IT,1,All interventions,event,accuracy,0.91894198,91.894198,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_one__all_event__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
arc_easy,ARC-Easy,base,Base,Base,,All interventions,event,accuracy,0.88468013,88.468013,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/reasoning_first_pass/arc_easy/qwen35_firstpass_base_qwen35_27b_arc_easy/arc_easy_metrics_overall_qwen35_firstpass_base_qwen35_27b_arc_easy.csv
arc_easy,ARC-Easy,icl,ICL,ICL,0,All interventions,event,accuracy,0.95244108,95.244108,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/qwen35_27b/reasoning/arc_easy/m4_baseicl_zero_qwen35_27b_allstrat_arc_easy/arc_easy_metrics_overall_m4_baseicl_zero_qwen35_27b_allstrat_arc_easy.csv
arc_easy,ARC-Easy,it,DIY IT,DIY IT,,All interventions,event,accuracy,0.92592593,92.592593,results/new_results/m3_finetune_qwen35_27b_ms500/reasoning/arc_easy/m3_qwen35_27b_ms500_all_event_arc_easy/arc_easy_metrics_overall_m3_qwen35_27b_ms500_all_event_arc_easy.csv
arc_easy,ARC-Easy,no_it_0,No IT 0,No IT,0,All interventions,event,accuracy,0.89309764,89.309764,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/arc_easy/arc_easy_metrics_overall.csv
arc_easy,ARC-Easy,no_it_1,No IT 1,No IT,1,All interventions,event,accuracy,0.90572391,90.572391,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_one__base_all_strategies__all_strategies/arc_easy/arc_easy_metrics_overall.csv
arc_easy,ARC-Easy,it_0,IT 0,IT,0,All interventions,event,accuracy,0.93855219,93.855219,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_event__all_strategies/arc_easy/arc_easy_metrics_overall.csv
arc_easy,ARC-Easy,it_1,IT 1,IT,1,All interventions,event,accuracy,0.9537037,95.37037,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_one__all_event__all_strategies/arc_easy/arc_easy_metrics_overall.csv
