model_key,model,figure,dataset_key,panel_label,method_key,method_label,metric,point,ci_low,ci_high,n_units,n_bootstrap,metric_source_file,row_files,status,reason,ideal_value,metric_label,native_value,normalized_bias_error_plotted,point_recomputed
qwen,Qwen 27B,debiasing_method_bars,bbq,BBQ Ambig.,icl,ICL,Bias_score_ambig,12.114,11.391511047267251,13.199945276694706,29238,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/bbq/bbq_metrics_m4_baseicl_zero_qwen35_27b_allstrat_bbq.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/bbq/m4_baseicl_zero_qwen35_27b_allstrat_bbq/bbq_preds_m4_baseicl_zero_qwen35_27b_allstrat_bbq_instr_all_strategies_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/bbq/m4_baseicl_zero_qwen35_27b_ci_bbq/bbq_preds_m4_baseicl_zero_qwen35_27b_ci_bbq_instr_counter_imaging_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/bbq/m4_baseicl_zero_qwen35_27b_ind_bbq/bbq_preds_m4_baseicl_zero_qwen35_27b_ind_bbq_instr_individuating_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/bbq/m4_baseicl_zero_qwen35_27b_pc_bbq/bbq_preds_m4_baseicl_zero_qwen35_27b_pc_bbq_instr_positive_contact_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/bbq/m4_baseicl_zero_qwen35_27b_pt_bbq/bbq_preds_m4_baseicl_zero_qwen35_27b_pt_bbq_instr_perspective_taking_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/bbq/m4_baseicl_zero_qwen35_27b_sr_bbq/bbq_preds_m4_baseicl_zero_qwen35_27b_sr_bbq_instr_stereotype_replacement_ALL.csv,ok,,0,Bias score ambig.,12.114,12.114,12.254600177850751
qwen,Qwen 27B,debiasing_method_bars,bbq,BBQ Ambig.,diy_it,DIY IT,Bias_score_ambig,5.825,4.733223886722757,6.66957384226007,29238,200,results/new_results/m3_finetune_qwen35_27b_ms500/bbq/bbq_metrics_m3_qwen35_27b_ms500_all_allversions_bbq.csv,outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_all_action_bbq/bbq_preds_m3_qwen35_27b_ms500_all_action_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_all_allversions_bbq/bbq_preds_m3_qwen35_27b_ms500_all_allversions_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_all_event_bbq/bbq_preds_m3_qwen35_27b_ms500_all_event_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_all_opinion_bbq/bbq_preds_m3_qwen35_27b_ms500_all_opinion_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_ci_bbq/bbq_preds_m3_qwen35_27b_ms500_ci_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_ind_bbq/bbq_preds_m3_qwen35_27b_ms500_ind_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_pc_bbq/bbq_preds_m3_qwen35_27b_ms500_pc_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_pt_bbq/bbq_preds_m3_qwen35_27b_ms500_pt_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_sr_bbq/bbq_preds_m3_qwen35_27b_ms500_sr_bbq_instr_off_ALL.csv,ok,,0,Bias score ambig.,5.825,5.825,5.804090567070255
qwen,Qwen 27B,debiasing_method_bars,bbq,BBQ Ambig.,diy_twopass_no_it,DIY Two Pass (No IT),Bias_score_ambig,1.772,1.2820644366919765,2.3262535057117457,29238,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/bbq/bbq_metrics.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/bbq/bbq_preds_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies_qwen35_bbq_firstpass_base_qwen35_27b_instr_off_ALL.csv,ok,,0,Bias score ambig.,1.772,1.772,1.7716670086873234
qwen,Qwen 27B,debiasing_method_bars,bbq,BBQ Ambig.,diy_twopass_it,DIY Two Pass (IT),Bias_score_ambig,2.086,1.4975374512620578,2.6411690266092083,29238,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/bbq/bbq_metrics.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/bbq/bbq_preds_m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies_qwen35_bbq_firstpass_base_qwen35_27b_instr_off_ALL.csv,ok,,0,Bias score ambig.,2.086,2.086,2.0863260140912483
qwen,Qwen 27B,debiasing_method_bars,bbq,BBQ Disambig.,base,Base Model Inference,Bias_score_disambig,0.884,0.060662689779542596,2.229080324874026,29238,200,results/new_results/m3_qwen35_27b_base_all5/bbq/bbq_metrics_m3_qwen35_27b_base_bbq.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/bbq/m3_qwen35_27b_base_bbq/bbq_preds_m3_qwen35_27b_base_bbq_instr_off_ALL.csv,ok,,0,Bias score disambig.,0.884,0.884,0.8835864652469549
qwen,Qwen 27B,debiasing_method_bars,bbq,BBQ Disambig.,icl,ICL,Bias_score_disambig,1.383,0.13602902444989967,2.36286545485395,29238,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/bbq/bbq_metrics_m4_baseicl_zero_qwen35_27b_allstrat_bbq.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/bbq/m4_baseicl_zero_qwen35_27b_allstrat_bbq/bbq_preds_m4_baseicl_zero_qwen35_27b_allstrat_bbq_instr_all_strategies_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/bbq/m4_baseicl_zero_qwen35_27b_ci_bbq/bbq_preds_m4_baseicl_zero_qwen35_27b_ci_bbq_instr_counter_imaging_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/bbq/m4_baseicl_zero_qwen35_27b_ind_bbq/bbq_preds_m4_baseicl_zero_qwen35_27b_ind_bbq_instr_individuating_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/bbq/m4_baseicl_zero_qwen35_27b_pc_bbq/bbq_preds_m4_baseicl_zero_qwen35_27b_pc_bbq_instr_positive_contact_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/bbq/m4_baseicl_zero_qwen35_27b_pt_bbq/bbq_preds_m4_baseicl_zero_qwen35_27b_pt_bbq_instr_perspective_taking_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/bbq/m4_baseicl_zero_qwen35_27b_sr_bbq/bbq_preds_m4_baseicl_zero_qwen35_27b_sr_bbq_instr_stereotype_replacement_ALL.csv,ok,,0,Bias score disambig.,1.383,1.383,1.1674734572672207
qwen,Qwen 27B,debiasing_method_bars,bbq,BBQ Disambig.,diy_it,DIY IT,Bias_score_disambig,0.615,0.040541705331140765,2.111112118419587,29238,200,results/new_results/m3_finetune_qwen35_27b_ms500/bbq/bbq_metrics_m3_qwen35_27b_ms500_all_allversions_bbq.csv,outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_all_action_bbq/bbq_preds_m3_qwen35_27b_ms500_all_action_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_all_allversions_bbq/bbq_preds_m3_qwen35_27b_ms500_all_allversions_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_all_event_bbq/bbq_preds_m3_qwen35_27b_ms500_all_event_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_all_opinion_bbq/bbq_preds_m3_qwen35_27b_ms500_all_opinion_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_ci_bbq/bbq_preds_m3_qwen35_27b_ms500_ci_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_ind_bbq/bbq_preds_m3_qwen35_27b_ms500_ind_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_pc_bbq/bbq_preds_m3_qwen35_27b_ms500_pc_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_pt_bbq/bbq_preds_m3_qwen35_27b_ms500_pt_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_qwen35_27b_ms500/bbq/m3_qwen35_27b_ms500_sr_bbq/bbq_preds_m3_qwen35_27b_ms500_sr_bbq_instr_off_ALL.csv,ok,,0,Bias score disambig.,0.615,0.615,0.7961007311129142
qwen,Qwen 27B,debiasing_method_bars,bbq,BBQ Disambig.,diy_twopass_no_it,DIY Two Pass (No IT),Bias_score_disambig,0.619,0.04013414674040373,2.5583669743703297,29238,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/bbq/bbq_metrics.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/bbq/bbq_preds_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies_qwen35_bbq_firstpass_base_qwen35_27b_instr_off_ALL.csv,ok,,0,Bias score disambig.,0.619,0.619,0.6186909801367602
qwen,Qwen 27B,debiasing_method_bars,bbq,BBQ Disambig.,diy_twopass_it,DIY Two Pass (IT),Bias_score_disambig,0.381,0.03190397881927043,1.789626906902457,29238,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/bbq/bbq_metrics.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/bbq/bbq_preds_m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies_qwen35_bbq_firstpass_base_qwen35_27b_instr_off_ALL.csv,ok,,0,Bias score disambig.,0.381,0.381,0.38121082897202285
qwen,Qwen 27B,debiasing_method_bars,winobias,WinoBias,base,Base Model Inference,abs_pro_anti_gap,0.077020202,0.04346640123902916,0.1103692840083245,1584,200,results/new_results/m3_qwen35_27b_base_all5/evalshared/winobias/m3_qwen35_27b_base_winobias/winobias_metrics_overall_m3_qwen35_27b_base_winobias.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/winobias/m3_qwen35_27b_base_winobias/winobias_predictions_m3_qwen35_27b_base_winobias.csv,ok,,0,Abs. pro/anti gap,0.077020202,0.077020202,0.07702020202020199
qwen,Qwen 27B,debiasing_method_bars,winobias,WinoBias,icl,ICL,abs_pro_anti_gap,0.078282828,0.04744593844802375,0.11497455509418697,1584,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/winobias/m4_baseicl_zero_qwen35_27b_allstrat_winobias/winobias_metrics_overall_m4_baseicl_zero_qwen35_27b_allstrat_winobias.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/winobias/m4_baseicl_zero_qwen35_27b_allstrat_winobias/winobias_predictions_m4_baseicl_zero_qwen35_27b_allstrat_winobias.csv,ok,,0,Abs. pro/anti gap,0.078282828,0.078282828,0.07828282828282829
qwen,Qwen 27B,debiasing_method_bars,winobias,WinoBias,diy_it,DIY IT,abs_pro_anti_gap,0.065656566,0.0412499367782319,0.09178960716023792,1584,200,results/new_results/m3_finetune_qwen35_27b_ms500/evalshared/winobias/m3_qwen35_27b_ms500_all_allversions_winobias/winobias_metrics_overall_m3_qwen35_27b_ms500_all_allversions_winobias.csv,outputs/new_outputs/m3_finetune_qwen35_27b_ms500/evalshared/winobias/m3_qwen35_27b_ms500_all_allversions_winobias/winobias_predictions_m3_qwen35_27b_ms500_all_allversions_winobias.csv,ok,,0,Abs. pro/anti gap,0.065656566,0.065656566,0.06565656565656564
qwen,Qwen 27B,debiasing_method_bars,winobias,WinoBias,diy_twopass_no_it,DIY Two Pass (No IT),abs_pro_anti_gap,0.012626263,0.0009278999752947022,0.05532532534903391,1584,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/winobias/winobias/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/winobias/winobias/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies/winobias_predictions_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,ok,,0,Abs. pro/anti gap,0.012626263,0.012626263,0.012626262626262652
qwen,Qwen 27B,debiasing_method_bars,winobias,WinoBias,diy_twopass_it,DIY Two Pass (IT),abs_pro_anti_gap,0.029040404,0.0028203323879445797,0.08005080072328227,1584,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/winobias/winobias/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies/winobias_metrics_overall_m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies/winobias/winobias/m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies/winobias_predictions_m6_qwen35_27b_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies.csv,ok,,0,Abs. pro/anti gap,0.029040404,0.029040404,0.02904040404040409
qwen,Qwen 27B,debiasing_method_bars,winogender,WinoGender,base,Base Model Inference,male_female_pair_disagreement_rate,0.066666667,0.037395833333333336,0.09583333333333334,240,200,results/new_results/m3_qwen35_27b_base_all5/evalshared/winogender/m3_qwen35_27b_base_winogender/winogender_metrics_overall_m3_qwen35_27b_base_winogender.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/winogender/m3_qwen35_27b_base_winogender/winogender_preds_m3_qwen35_27b_base_winogender.csv,ok,,0,Male/female pair disagreement,0.066666667,0.066666667,0.06666666666666667
qwen,Qwen 27B,debiasing_method_bars,winogender,WinoGender,icl,ICL,male_female_pair_disagreement_rate,0.066666667,0.037395833333333336,0.1001041666666667,240,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/winogender/m4_baseicl_zero_qwen35_27b_allstrat_winogender/winogender_metrics_overall_m4_baseicl_zero_qwen35_27b_allstrat_winogender.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/winogender/m4_baseicl_zero_qwen35_27b_allstrat_winogender/winogender_preds_m4_baseicl_zero_qwen35_27b_allstrat_winogender.csv,ok,,0,Male/female pair disagreement,0.066666667,0.066666667,0.06666666666666667
qwen,Qwen 27B,debiasing_method_bars,winogender,WinoGender,diy_it,DIY IT,male_female_pair_disagreement_rate,0.045833333,0.016666666666666666,0.07083333333333333,240,200,results/new_results/m3_finetune_qwen35_27b_ms500/evalshared/winogender/m3_qwen35_27b_ms500_all_allversions_winogender/winogender_metrics_overall_m3_qwen35_27b_ms500_all_allversions_winogender.csv,outputs/new_outputs/m3_finetune_qwen35_27b_ms500/evalshared/winogender/m3_qwen35_27b_ms500_all_allversions_winogender/winogender_preds_m3_qwen35_27b_ms500_all_allversions_winogender.csv,ok,,0,Male/female pair disagreement,0.045833333,0.045833333,0.04583333333333333
qwen,Qwen 27B,debiasing_method_bars,winogender,WinoGender,diy_twopass_no_it,DIY Two Pass (No IT),male_female_pair_disagreement_rate,0.0125,0.0,0.029166666666666667,240,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/winogender/winogender/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies/winogender_metrics_overall_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies/winogender/winogender/m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies/winogender_preds_m6_qwen35_27b_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies.csv,ok,,0,Male/female pair disagreement,0.0125,0.0125,0.0125
